airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,04:40:00,1215,1.0,In-flight meal not included,8586
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,In-flight meal not included,11841
Jet Airways,2019-05-21,New Delhi,Cochin,21:50:00,04:25:00,395,1.0,No Info,16079
Jet Airways,2019-03-18,Banglore,New Delhi,05:45:00,18:25:00,760,1.0,No Info,12284
Multiple Carriers,2019-05-27,New Delhi,Cochin,07:10:00,22:30:00,920,1.0,No Info,7878
Vistara,2019-05-06,Banglore,New Delhi,17:00:00,19:35:00,155,0.0,No Info,4878
Indigo,2019-03-24,Kolkata,Banglore,22:10:00,00:55:00,165,0.0,No Info,6985
Multiple Carriers,2019-03-21,New Delhi,Cochin,06:00:00,21:00:00,900,1.0,No Info,9845
Air India,2019-05-18,Kolkata,Banglore,09:25:00,18:30:00,545,1.0,No Info,8576
Jet Airways,2019-03-06,New Delhi,Cochin,19:45:00,04:25:00,520,1.0,No Info,15764
Air India,2019-05-15,New Delhi,Cochin,09:45:00,09:25:00,1420,1.0,No Info,7480
Vistara,2019-03-09,Banglore,New Delhi,16:00:00,18:35:00,155,0.0,No Info,7923
Jet Airways,2019-06-01,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4050
Jet Airways,2019-06-15,New Delhi,Cochin,11:30:00,04:25:00,1015,1.0,In-flight meal not included,10262
Jet Airways,2019-05-15,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,No Info,14388
Vistara,2019-06-27,Banglore,New Delhi,11:30:00,14:20:00,170,0.0,No Info,4668
Indigo,2019-04-27,New Delhi,Cochin,05:05:00,12:10:00,425,1.0,No Info,7160
Indigo,2019-03-15,Banglore,New Delhi,07:30:00,12:20:00,290,1.0,No Info,6114
Jet Airways,2019-05-24,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No Info,5678
Air India,2019-04-06,New Delhi,Cochin,17:20:00,09:25:00,965,1.0,No Info,4697
Jet Airways,2019-03-01,Banglore,New Delhi,16:55:00,07:40:00,885,1.0,1 Long layover,26890
Air India,2019-06-01,New Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,10861
Jet Airways,2019-05-09,New Delhi,Cochin,11:40:00,19:00:00,440,2.0,No Info,21219
Indigo,2019-06-03,New Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,6093
Multiple Carriers,2019-05-21,New Delhi,Cochin,13:05:00,00:55:00,710,1.0,No Info,9486
Jet Airways,2019-06-09,New Delhi,Cochin,19:45:00,12:35:00,1010,1.0,In-flight meal not included,10577
Jet Airways,2019-03-06,New Delhi,Cochin,16:00:00,04:25:00,745,1.0,No Info,15764
Indigo,2019-06-06,New Delhi,Cochin,17:05:00,22:25:00,320,1.0,No Info,6493
Vistara,2019-04-01,Banglore,New Delhi,07:00:00,09:40:00,160,0.0,No Info,5403
Jet Airways,2019-06-01,Banglore,New Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,7229
Air Asia,2019-03-01,Kolkata,Banglore,19:35:00,22:05:00,150,0.0,No Info,5964
Air India,2019-03-01,Banglore,New Delhi,17:00:00,19:45:00,165,0.0,No Info,25913
Indigo,2019-03-09,Mumbai,Hyderabad,06:20:00,07:45:00,85,0.0,No Info,4392
Jet Airways,2019-06-27,New Delhi,Cochin,15:00:00,12:35:00,1295,1.0,In-flight meal not included,10262
Air India,2019-03-01,Banglore,New Delhi,06:45:00,12:15:00,330,1.0,No Info,23677
Multiple Carriers,2019-05-18,New Delhi,Cochin,10:00:00,01:30:00,930,1.0,No Info,8073
Air India,2019-05-09,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,4667
Air India,2019-05-06,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,3100
Jet Airways,2019-06-01,New Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,10262
Indigo,2019-06-27,New Delhi,Cochin,07:35:00,16:10:00,515,1.0,No Info,6442
Jet Airways,2019-06-12,New Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,10368
Jet Airways,2019-03-27,New Delhi,Cochin,11:30:00,04:25:00,1015,1.0,In-flight meal not included,6017
Jet Airways,2019-06-12,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,No Info,12692
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,09:20:00,1610,1.0,No Info,14178
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,16:20:00,1220,1.0,No Info,14571
Jet Airways,2019-03-18,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,8040
Spicejet,2019-06-06,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No Info,2753
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,19:10:00,1570,1.0,In-flight meal not included,10539
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,04:40:00,1215,1.0,No Info,13731
Multiple Carriers,2019-03-21,New Delhi,Cochin,15:00:00,01:35:00,635,1.0,No Info,13542
Jet Airways,2019-05-12,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,5678
Air India,2019-06-24,New Delhi,Cochin,14:25:00,19:15:00,1730,2.0,No Info,13381
Air India,2019-03-01,New Delhi,Cochin,04:00:00,07:40:00,1660,1.0,No Info,28322
Air India,2019-03-15,New Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,4939
Indigo,2019-06-27,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No Info,4049
Jet Airways,2019-06-12,Banglore,New Delhi,17:45:00,20:45:00,180,0.0,No Info,8016
Indigo,2019-04-18,Banglore,New Delhi,04:00:00,06:50:00,170,0.0,No Info,4423
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,10:25:00,690,1.0,No Info,13817
Multiple Carriers,2019-06-03,New Delhi,Cochin,07:05:00,16:10:00,545,1.0,No Info,10696
Indigo,2019-04-27,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4804
Air India,2019-05-24,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,3100
Indigo,2019-03-24,Banglore,New Delhi,21:20:00,00:15:00,175,0.0,No Info,5694
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,9663
Indigo,2019-05-27,New Delhi,Cochin,08:35:00,22:30:00,835,1.0,No Info,6442
Air India,2019-03-06,New Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,7931
Air India,2019-03-18,Banglore,New Delhi,08:50:00,16:30:00,1900,2.0,No Info,10835
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,16:10:00,1275,1.0,In-flight meal not included,11087
Air India,2019-06-15,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,4667
Jet Airways,2019-03-03,New Delhi,Cochin,21:50:00,18:50:00,1260,1.0,No Info,17024
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,08:10:00,660,1.0,No Info,14231
Spicejet,2019-05-01,Kolkata,Banglore,11:15:00,18:30:00,435,1.0,No Info,8844
Vistara,2019-05-18,Banglore,New Delhi,17:00:00,19:35:00,155,0.0,No Info,4878
Indigo,2019-04-15,Banglore,New Delhi,10:10:00,13:00:00,170,0.0,No Info,4423
Multiple Carriers,2019-03-03,New Delhi,Cochin,15:25:00,01:35:00,610,1.0,No Info,15147
Indigo,2019-06-03,Banglore,New Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Indigo,2019-06-15,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Jet Airways,2019-06-15,New Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,10368
Indigo,2019-05-01,Kolkata,Banglore,18:05:00,23:30:00,325,1.0,No Info,6218
Jet Airways,2019-05-21,Kolkata,Banglore,14:05:00,19:50:00,345,1.0,In-flight meal not included,10844
Air India,2019-03-15,Banglore,New Delhi,08:15:00,11:20:00,1625,2.0,No Info,8534
Jet Airways,2019-03-06,Banglore,New Delhi,16:55:00,10:25:00,1050,1.0,No Info,17261
Jet Airways,2019-03-06,Banglore,New Delhi,08:00:00,07:40:00,1420,1.0,No Info,14815
Jet Airways,2019-06-27,New Delhi,Cochin,17:30:00,19:00:00,1530,1.0,In-flight meal not included,10262
Indigo,2019-06-01,New Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5636
Jet Airways,2019-03-06,Banglore,New Delhi,07:00:00,12:25:00,325,1.0,No Info,22270
Jet Airways,2019-06-03,Banglore,New Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,5769
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,22:35:00,1595,1.0,In-flight meal not included,7064
Jet Airways,2019-06-12,New Delhi,Cochin,17:30:00,19:00:00,1530,1.0,In-flight meal not included,10262
Jet Airways,2019-05-06,Banglore,New Delhi,17:45:00,20:45:00,180,0.0,No Info,7229
Goair,2019-03-09,Banglore,New Delhi,11:40:00,14:35:00,175,0.0,No Info,7305
Indigo,2019-06-09,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Vistara,2019-06-06,Kolkata,Banglore,20:20:00,18:50:00,1350,1.0,No Info,8820
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,22:35:00,965,1.0,No Info,13339
Jet Airways,2019-05-21,New Delhi,Cochin,19:15:00,12:35:00,1040,1.0,In-flight meal not included,12898
Air India,2019-05-21,Banglore,New Delhi,05:45:00,08:45:00,180,0.0,No Info,6961
Air India,2019-03-18,Banglore,New Delhi,17:00:00,19:45:00,165,0.0,No Info,4441
Indigo,2019-05-27,New Delhi,Cochin,14:20:00,22:30:00,490,1.0,No Info,6938
Air India,2019-05-15,New Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,11281
Spicejet,2019-04-03,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,09:15:00,1160,1.0,In-flight meal not included,11134
Multiple Carriers,2019-06-01,New Delhi,Cochin,10:00:00,01:30:00,930,1.0,No Info,7198
Vistara,2019-04-01,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No Info,8452
Vistara,2019-06-01,New Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6741
Air India,2019-06-03,New Delhi,Cochin,09:45:00,23:00:00,795,1.0,No Info,8907
Indigo,2019-05-01,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No Info,3809
Jet Airways,2019-05-27,New Delhi,Cochin,02:15:00,19:00:00,1005,1.0,No Info,16079
Jet Airways,2019-06-12,Banglore,New Delhi,15:15:00,18:10:00,175,0.0,No Info,8016
Air India,2019-06-27,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4145
Spicejet,2019-06-09,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,3543
Multiple Carriers,2019-03-21,New Delhi,Cochin,17:30:00,01:35:00,485,1.0,No Info,13542
Air India,2019-06-09,Kolkata,Banglore,20:30:00,20:25:00,1435,1.0,No Info,10203
Air India,2019-05-27,New Delhi,Cochin,18:30:00,19:15:00,1485,2.0,No Info,12488
Spicejet,2019-05-18,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,4439
Spicejet,2019-03-03,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,7050
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,No Info,13067
Multiple Carriers,2019-06-15,New Delhi,Cochin,11:30:00,21:00:00,570,1.0,No Info,13587
Indigo,2019-03-15,Mumbai,Hyderabad,12:00:00,13:25:00,85,0.0,No Info,3175
Air India,2019-03-12,Banglore,New Delhi,08:50:00,23:25:00,875,2.0,No Info,13250
Jet Airways,2019-03-03,New Delhi,Cochin,20:05:00,04:25:00,500,2.0,No Info,46490
Jet Airways,2019-04-06,Banglore,New Delhi,17:45:00,20:45:00,180,0.0,No Info,7229
Air India,2019-06-06,New Delhi,Cochin,10:55:00,19:15:00,500,2.0,No Info,11753
Multiple Carriers,2019-06-12,New Delhi,Cochin,11:25:00,19:00:00,455,1.0,No Info,10877
Air India,2019-04-09,New Delhi,Cochin,20:30:00,08:15:00,705,1.0,No Info,5683
Spicejet,2019-03-27,Kolkata,Banglore,09:00:00,11:30:00,150,0.0,No check-in baggage included,3815
Vistara,2019-05-18,Banglore,New Delhi,07:00:00,09:40:00,160,0.0,No Info,4878
Indigo,2019-03-21,Mumbai,Hyderabad,12:00:00,13:25:00,85,0.0,No Info,3342
Air India,2019-03-21,New Delhi,Cochin,09:45:00,09:25:00,1420,1.0,No Info,7532
Jet Airways,2019-03-27,New Delhi,Cochin,19:10:00,19:45:00,1475,2.0,No Info,10976
Jet Airways,2019-03-18,Banglore,New Delhi,18:40:00,07:40:00,780,1.0,In-flight meal not included,10972
Multiple Carriers,2019-05-18,New Delhi,Cochin,11:30:00,19:15:00,465,1.0,No Info,14533
Indigo,2019-03-15,Banglore,New Delhi,04:00:00,06:50:00,170,0.0,No Info,5694
Vistara,2019-06-12,Banglore,New Delhi,11:30:00,14:20:00,170,0.0,No Info,4668
Air India,2019-03-09,New Delhi,Cochin,23:00:00,19:15:00,1215,1.0,No Info,11260
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,In-flight meal not included,13469
Vistara,2019-03-09,Banglore,New Delhi,09:50:00,12:35:00,165,0.0,No Info,7240
Spicejet,2019-06-27,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3597
Jet Airways,2019-04-12,Banglore,New Delhi,08:20:00,11:20:00,180,0.0,No Info,7229
Multiple Carriers,2019-05-27,New Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,8475
Air India,2019-03-06,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,5462
Indigo,2019-03-24,Banglore,New Delhi,04:00:00,06:50:00,170,0.0,No Info,4777
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,08:15:00,800,1.0,No Info,14939
Air Asia,2019-05-18,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,4409
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,19:40:00,345,1.0,In-flight meal not included,11134
Indigo,2019-06-24,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4804
Indigo,2019-05-12,Banglore,New Delhi,08:30:00,11:20:00,170,0.0,No Info,5740
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,No Info,13941
Multiple Carriers,2019-06-06,New Delhi,Cochin,04:55:00,12:35:00,460,1.0,No Info,10678
Indigo,2019-04-09,Kolkata,Banglore,19:55:00,23:50:00,235,1.0,No Info,4226
Jet Airways,2019-06-01,Banglore,New Delhi,19:50:00,22:50:00,180,0.0,No Info,8016
Indigo,2019-05-12,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No Info,4049
Jet Airways,2019-05-27,New Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No Info,15129
Air India,2019-04-09,Banglore,New Delhi,05:45:00,08:45:00,180,0.0,No Info,4441
Jet Airways,2019-04-21,Banglore,New Delhi,17:45:00,20:45:00,180,0.0,No Info,7229
Air India,2019-05-01,Banglore,New Delhi,21:05:00,23:55:00,170,0.0,No Info,6121
Goair,2019-05-15,Banglore,New Delhi,07:45:00,10:40:00,175,0.0,No Info,3419
Vistara,2019-03-24,Banglore,New Delhi,11:30:00,14:10:00,160,0.0,No Info,5403
Multiple Carriers,2019-06-27,New Delhi,Cochin,09:45:00,22:30:00,765,1.0,No Info,9646
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,10:05:00,1655,1.0,In-flight meal not included,8586
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,09:20:00,1495,1.0,In-flight meal not included,7064
Air India,2019-03-27,New Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No Info,7165
Air India,2019-05-06,Kolkata,Banglore,09:50:00,21:05:00,675,1.0,No Info,7452
Spicejet,2019-03-24,Kolkata,Banglore,09:00:00,11:30:00,150,0.0,No check-in baggage included,5201
Air India,2019-06-27,New Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,8372
Vistara,2019-03-12,Mumbai,Hyderabad,08:45:00,22:55:00,850,1.0,No Info,12080
Indigo,2019-03-21,New Delhi,Cochin,02:05:00,07:25:00,320,1.0,No Info,4862
Jet Airways,2019-05-27,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Jet Airways,2019-03-21,Banglore,New Delhi,11:40:00,10:25:00,1365,1.0,In-flight meal not included,7832
Spicejet,2019-06-03,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,In-flight meal not included,10844
Jet Airways,2019-06-24,New Delhi,Cochin,18:15:00,12:35:00,1100,1.0,In-flight meal not included,10262
Indigo,2019-05-12,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Goair,2019-06-24,New Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,4692
Indigo,2019-06-15,New Delhi,Cochin,15:10:00,20:00:00,290,1.0,No Info,6147
Indigo,2019-06-12,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,4804
Jet Airways,2019-06-24,New Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No Info,12819
Multiple Carriers,2019-05-21,New Delhi,Cochin,12:50:00,19:15:00,385,1.0,No Info,8266
Jet Airways,2019-06-06,New Delhi,Cochin,18:15:00,04:25:00,610,1.0,In-flight meal not included,10262
Spicejet,2019-05-18,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,4174
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,00:45:00,640,1.0,In-flight meal not included,13502
Multiple Carriers,2019-06-09,New Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,13587
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,23:35:00,910,1.0,In-flight meal not included,7064
Jet Airways,2019-03-12,Banglore,New Delhi,16:55:00,10:45:00,1070,1.0,No Info,13817
Jet Airways,2019-03-18,Banglore,New Delhi,16:55:00,09:00:00,965,1.0,In-flight meal not included,11087
Jet Airways,2019-05-09,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,No Info,12121
Air India,2019-04-24,New Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5201
Spicejet,2019-06-09,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Jet Airways,2019-05-21,New Delhi,Cochin,09:35:00,12:35:00,1620,2.0,No Info,13559
Multiple Carriers,2019-03-21,New Delhi,Cochin,08:55:00,15:30:00,395,1.0,No Info,11269
Air India,2019-03-09,New Delhi,Cochin,06:10:00,23:00:00,1010,1.0,No Info,9064
Indigo,2019-03-06,Kolkata,Banglore,14:20:00,16:55:00,155,0.0,No Info,5618
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,16:20:00,1430,1.0,No Info,13044
Air India,2019-04-09,New Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No Info,4487
Spicejet,2019-05-24,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,3873
Vistara,2019-03-24,Kolkata,Banglore,17:00:00,20:25:00,1645,1.0,No Info,12102
Jet Airways,2019-06-06,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No Info,14571
Indigo,2019-04-01,Banglore,New Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Indigo,2019-04-09,Banglore,New Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Vistara,2019-04-03,Banglore,New Delhi,07:00:00,09:40:00,160,0.0,No Info,5403
Jet Airways,2019-03-01,Banglore,New Delhi,08:55:00,15:15:00,380,1.0,No Info,26890
Spicejet,2019-04-21,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,4491
Air India,2019-06-01,New Delhi,Cochin,10:00:00,19:15:00,555,1.0,No Info,9929
Goair,2019-03-09,Banglore,New Delhi,07:45:00,10:40:00,175,0.0,No Info,7631
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,08:15:00,1090,1.0,In-flight meal not included,7757
Spicejet,2019-04-09,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,No Info,13941
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,07:40:00,1055,1.0,In-flight meal not included,13502
Jet Airways,2019-03-15,Banglore,New Delhi,05:45:00,10:45:00,300,1.0,In-flight meal not included,9134
Jet Airways,2019-05-18,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,In-flight meal not included,12384
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,19:50:00,1495,1.0,No Info,13044
Air India,2019-03-09,Banglore,New Delhi,06:50:00,23:10:00,980,1.0,No Info,5626
Jet Airways,2019-06-24,New Delhi,Cochin,17:30:00,19:00:00,1530,1.0,In-flight meal not included,10262
Indigo,2019-03-09,New Delhi,Cochin,07:45:00,13:40:00,355,1.0,No Info,6755
